stand_L,previous_zone_A,previous_zone_B,previous_zone_C,previous_zone_D,previous_zone_E,previous_zone_F,previous_zone_G,previous_zone_H,previous_zone_I,previous_zone_K,previous_zone_L,previous_zone_M,previous_zone_N,previous_pitch_type_CH,previous_pitch_type_CU,previous_pitch_type_FF,previous_pitch_type_SL,previous_description_ball,previous_description_blocked_ball,previous_description_called_strike,previous_description_foul,previous_description_hit_into_play,previous_description_swinging_strike,previous_event_field_out,previous_event_single,previous_event_strikeout,previous_event_walk,previous_bb_type_fly_ball,previous_bb_type_ground_ball,previous_bb_type_line_drive,previous_bb_type_popup,outs_when_up,1st_pitch,pitch_count,score_diff,count,bases,pitch_type
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2353102649354684,-0.5853748003500627,-0.6687983211703533,-0.7980864370398558,1.2150336114193359,0.5412670430048028,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2353102649354684,-0.5853748003500627,-0.632722465851301,-0.7980864370398558,0.8126382928936002,0.5412670430048028,2
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,1.7083072236829895,-0.5966466105322487,-0.7980864370398558,-0.3945476626836063,0.5412670430048028,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,-0.5853748003500627,-0.5605707552131963,-0.7980864370398558,-0.7969429812093418,0.5412670430048028,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,-0.5853748003500627,-0.524494899894144,-0.7980864370398558,0.0078476558421292,0.5412670430048028,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,-0.5853748003500627,-0.4884190445750917,-0.7980864370398558,-1.1993382997350774,0.5412670430048028,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,-0.5853748003500627,-0.4523431892560394,-0.7980864370398558,-2.406524255312284,0.5412670430048028,3
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,-0.5853748003500627,-0.41626733393698706,-0.7980864370398558,-1.6017336182608128,0.5412670430048028,3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2171681916186592,-0.5853748003500627,-0.3801914786179348,-0.7980864370398558,-1.6017336182608128,0.5412670430048028,3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2171681916186592,1.7083072236829895,-0.34411562329888246,-0.7980864370398558,-0.3945476626836063,-0.12501117963438713,1
